Filename,Width,Height,Roi.Y1,Roi.X1,Roi.Y2,Roi.X2,ClassId
00034_00000.ppm,128,128,11,11,117,117,5
00034_00001.ppm,215,155,13,18,142,197,5
00034_00002.ppm,97,94,8,8,86,88,5
00328_00000.ppm,205,200,17,17,183,187,5
00328_00001.ppm,155,151,13,13,137,141,5
00328_00002.ppm,111,108,9,9,98,102,5
00364_00000.ppm,71,41,5,6,35,65,5
00405_00000.ppm,152,145,12,13,133,138,5
00405_00001.ppm,107,105,9,9,96,98,5
00405_00002.ppm,85,83,7,7,76,77,5
00625_00000.ppm,99,95,8,8,87,90,5
00625_00001.ppm,110,107,9,9,97,101,5
00625_00002.ppm,107,100,8,9,91,97,5
00686_00000.ppm,104,86,7,9,79,94,5
00686_00001.ppm,95,82,7,8,74,87,5
00686_00002.ppm,86,74,6,7,68,79,5
00710_00000.ppm,224,216,18,19,198,204,5
00710_00001.ppm,187,179,15,16,163,170,5
00710_00002.ppm,205,195,16,17,178,187,5
00714_00000.ppm,116,97,8,10,88,106,5
00714_00001.ppm,96,82,7,8,74,87,5
00714_00002.ppm,104,87,7,9,79,94,5
00811_00000.ppm,263,240,20,22,219,240,5
00811_00001.ppm,268,218,18,22,200,245,5
00811_00002.ppm,272,205,17,23,188,249,5
00903_00000.ppm,105,98,8,9,89,95,5
00903_00001.ppm,99,93,8,8,84,91,5
00903_00002.ppm,95,91,8,8,82,87,5
01293_00000.ppm,121,119,10,10,109,110,5
01293_00001.ppm,98,96,8,8,88,90,5
01293_00002.ppm,143,153,13,12,139,130,5
01484_00000.ppm,288,301,25,24,276,263,5
01484_00001.ppm,178,179,15,15,164,162,5
01484_00002.ppm,128,127,11,11,116,117,5
01695_00000.ppm,146,134,11,12,122,133,5
01695_00001.ppm,117,108,9,10,99,106,5
01695_00002.ppm,98,94,8,8,86,89,5
