Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,,,,
00032.ppm,,,0,0,21,25,3,683,469,703,493
00040.ppm,,,0,0,91,91,3,1040,310,1130,400
00196.ppm,,,0,0,45,47,3,734,370,778,416
00206.ppm,,,0,0,66,65,3,1159,197,1224,261
00209.ppm,,,0,0,61,62,3,1110,287,1170,348
00212.ppm,,,0,0,27,29,3,756,402,782,430
00214.ppm,,,0,0,75,72,3,1214,241,1288,312
00218.ppm,,,0,0,20,20,3,808,437,827,456
00219.ppm,,,0,0,56,57,3,1089,345,1144,401
00275.ppm,,,0,0,42,43,3,1196,342,1237,384
00275.ppm,,,0,0,33,36,3,206,410,238,445
00340.ppm,,,0,0,26,26,3,827,521,852,546
00460.ppm,,,0,0,32,32,3,831,481,862,512
00679.ppm,,,0,0,40,42,3,720,409,759,450
00813.ppm,,,0,0,83,84,3,928,250,1010,333
00849.ppm,,,0,0,36,36,3,400,412,435,447
