Filename,Width,Height,Roi.Y1,Roi.X1,Roi.Y2,Roi.X2,ClassId
00021_00000.ppm,123,128,11,10,117,112,4
00021_00001.ppm,106,109,9,9,99,96,4
00021_00002.ppm,207,155,13,17,142,190,4
00376_00000.ppm,166,117,10,14,106,151,4
00376_00001.ppm,166,130,11,14,119,151,4
00376_00002.ppm,164,139,12,14,127,150,4
00413_00000.ppm,98,96,8,8,87,90,4
00413_00001.ppm,79,76,6,7,70,72,4
00413_00002.ppm,143,141,12,12,128,131,4
00650_00000.ppm,103,100,8,9,91,93,4
00650_00001.ppm,116,110,9,10,100,105,4
00650_00002.ppm,109,106,9,9,96,99,4
00909_00000.ppm,93,80,7,8,72,85,4
00909_00001.ppm,97,85,7,8,77,89,4
00909_00002.ppm,88,79,7,7,71,81,4
01365_00000.ppm,111,109,9,9,100,101,4
01365_00001.ppm,143,142,12,12,129,130,4
01365_00002.ppm,194,190,16,16,173,177,4
01496_00000.ppm,172,166,14,14,151,158,4
01496_00001.ppm,131,128,11,11,116,120,4
01496_00002.ppm,110,107,9,9,97,100,4
01541_00000.ppm,120,118,10,10,108,109,4
01541_00001.ppm,211,213,18,18,195,193,4
01541_00002.ppm,152,148,12,13,136,139,4
01657_00000.ppm,175,163,14,15,149,159,4
01657_00001.ppm,116,111,9,10,102,106,4
01657_00002.ppm,229,215,18,19,197,210,4
01693_00000.ppm,124,119,10,10,109,113,4
01693_00001.ppm,148,142,12,12,129,136,4
01693_00002.ppm,189,176,15,16,160,172,4
01699_00000.ppm,93,92,8,8,84,84,4
01699_00001.ppm,109,107,9,9,98,99,4
01699_00002.ppm,134,134,11,11,122,123,4
