Filename,Width,Height,Roi.Y1,Roi.X1,Roi.Y2,Roi.X2,ClassId
00375_00000.ppm,244,252,21,20,230,223,1
00375_00001.ppm,244,247,21,20,226,224,1
00375_00002.ppm,248,211,18,21,193,227,1
00478_00000.ppm,153,136,11,13,124,139,1
00478_00001.ppm,118,107,9,10,97,108,1
00478_00002.ppm,94,85,7,8,77,86,1
00546_00000.ppm,132,128,11,11,117,121,1
00546_00001.ppm,136,107,9,11,97,124,1
00546_00002.ppm,135,118,10,11,108,124,1
00554_00000.ppm,218,230,19,18,210,200,1
00554_00001.ppm,217,223,19,18,203,199,1
00554_00002.ppm,219,217,18,18,198,201,1
00684_00000.ppm,86,91,8,7,82,79,1
00684_00001.ppm,79,75,6,7,69,71,1
00684_00002.ppm,82,83,7,7,75,74,1
00685_00000.ppm,128,122,10,11,112,116,1
00685_00001.ppm,148,143,12,12,130,136,1
00685_00002.ppm,98,93,8,8,84,89,1
00715_00000.ppm,140,135,11,12,124,128,1
00715_00001.ppm,106,98,8,9,90,96,1
00715_00002.ppm,93,86,7,8,78,85,1
00715_00003.ppm,98,93,8,8,84,90,1
01162_00000.ppm,386,230,19,32,210,354,1
01162_00001.ppm,388,232,19,32,212,355,1
01162_00002.ppm,394,224,19,33,204,360,1
01258_00000.ppm,37,20,5,5,14,31,1
01258_00001.ppm,37,21,5,5,16,31,1
01258_00002.ppm,38,20,5,5,15,33,1
01811_00000.ppm,226,220,18,19,201,206,1
01811_00001.ppm,292,290,24,24,266,267,1
01811_00002.ppm,577,301,25,48,275,529,1
01832_00000.ppm,91,55,5,8,49,83,1
01832_00001.ppm,92,71,6,8,64,83,1
01832_00002.ppm,93,92,8,8,83,85,1
01868_00000.ppm,371,164,14,31,150,339,1
01868_00001.ppm,171,163,14,14,149,157,1
01868_00002.ppm,98,94,8,8,86,89,1
01920_00000.ppm,86,84,7,7,77,78,1
01920_00001.ppm,107,105,9,9,96,98,1
01920_00002.ppm,143,136,11,12,124,131,1
01951_00000.ppm,179,181,15,15,166,163,1
01951_00001.ppm,123,123,10,10,112,112,1
01951_00002.ppm,96,95,8,8,86,88,1
